"idcase" "depvar" "ic1" "ic2" "ic3" "ic4" "ic5" "oc1" "oc2" "oc3" "oc4" "oc5" "income" "agehed" "rooms" "ncost1" "scost1" "mountn" "valley"
1 1 866 962.64 859.9 995.76 1135.5 199.69 151.72 553.34 505.6 237.88 70000 25 6 1 0 0 0
2 1 727.93 758.89 796.82 894.69 968.9 168.66 168.66 520.24 486.49 199.19 50000 60 5 0 1 0 0
3 1 599.48 783.05 719.86 900.11 1048.3 165.58 137.8 439.06 404.74 171.47 40000 65 2 1 0 0 0
4 4 835.17 793.06 761.25 831.04 1048.7 180.88 147.14 483 425.22 222.95 20000 50 4 0 1 0 0
5 4 755.59 846.29 858.86 985.64 883.05 174.91 138.9 404.41 389.52 178.49 20000 25 6 0 0 0 1
6 1 666.11 841.71 693.74 862.56 859.18 135.67 140.97 398.22 371.04 209.27 60000 65 7 0 1 0 0
7 1 670.1 941.25 633.63 952.3 1086.8 191.84 147.57 478.36 445.97 236.99 40000 35 2 0 1 0 0
8 1 778.03 1022.1 813.33 1012.3 990.21 187.61 158.66 502.4 464.77 203.78 60000 20 7 0 0 0 1
9 1 928.34 1212.4 875.7 1024.8 1232.5 168.7 189.81 552.98 451.76 269.88 50000 60 6 0 1 0 0
10 1 682.88 1044.8 775.86 874.49 878.09 176.14 136.43 532.22 472.39 217.34 70000 20 2 0 1 0 0
11 1 858.26 815.69 792.29 774.69 1076 159.92 134.55 428.1 380.78 230.16 50000 60 6 0 0 1 0
12 1 1021.7 1007.1 944.35 1325 1249.6 214.8 190.79 568.33 475.72 246 70000 25 4 0 0 1 0
13 1 651.83 823.59 797.34 880.8 792.92 127.4 147.48 406.71 338.03 197.94 50000 35 3 1 0 0 0
14 2 568.44 617.43 687.18 718.72 775.54 119.45 111.86 365.92 395.14 173.53 20000 30 6 0 0 0 1
15 1 602.51 815.95 594 736.77 934.23 139.54 122.44 424.71 322.95 180.51 30000 35 2 0 0 0 1
16 2 768.08 1114.1 801.2 1092.4 1108.4 198.39 160.99 443.16 380.19 229.37 40000 35 4 0 1 0 0
17 5 723.92 929.7 821.79 969.64 1058 160.4 147.08 432.58 446.38 209.57 60000 55 2 0 1 0 0
18 5 630.81 727.37 696.89 853.82 779.94 147.92 103.69 362.99 448.43 165.22 70000 35 4 0 1 0 0
19 4 555.44 775.24 572.3 664.22 707.79 106.53 106.52 341.16 290.74 139.89 60000 65 2 1 0 0 0
20 1 899.87 1214.2 925.62 1140 1155.3 213.84 186.6 561.69 528.22 251.16 70000 50 4 1 0 0 0
21 3 657.54 892.16 788.07 799.52 1083.1 176.15 148.93 440.99 286.29 203.87 50000 40 5 0 1 0 0
22 2 761.29 1034.8 934.75 1009.5 1192.1 199.84 155.97 496.77 414.79 233.74 50000 35 4 0 1 0 0
23 1 575.07 865.23 619.65 880.97 879.44 109.94 130.64 417.32 362.24 196.12 40000 20 7 0 1 0 0
24 5 830.08 920.85 805.29 806.59 1162.8 188.69 146.41 599.15 389.6 220.51 50000 35 3 0 1 0 0
25 1 974.55 1047.2 943.05 1130.5 1196.8 206.99 174.96 577.2 510.66 217.19 40000 45 3 1 0 0 0
26 2 737.47 1042.7 882.55 1187.9 1055 207.36 145.48 527.88 455.8 265.62 20000 30 7 0 1 0 0
